Posición,Jugador,Consecutivas
1,Steffi Graf,186.0
1,Serena Williams,186.0
3,Martina Navratilova,156.0
4,Chris Evert,113.0
5,Steffi Graf,94.0
6,Monica Seles,91.0
7,Martina Navratilova,90.0
8,Steffi Graf,87.0
9,Martina Hingis,80.0
10,Chris Evert,76.0
11,Martina Hingis,73.0
12,Monica Seles,63.0
13,Justine Henin,61.0
14,Serena Williams,57.0
15,Serena Williams,49.0
15,Caroline Wozniacki,49.0
17,Simona Halep,48.0
18,Justine Henin,44.0
18,Lindsay Davenport,44.0
20,Ashleigh Barty,40.0
40,,
